prepare_img_data : 2020-06-11 15:13:46,607 : INFO : Prediction sequence length: 30, Min. img size: 50x300
prepare_img_data : 2020-06-11 15:13:46,607 : WARNING : Make sure the sequence length fits architecture of model
uiparser : 2020-06-11 15:13:47,023 : DEBUG : push QRadioButton radio_LSTM
uiparser : 2020-06-11 15:13:47,023 : DEBUG : pop widget QRadioButton radio_LSTM
uiparser : 2020-06-11 15:13:47,023 : DEBUG : new topwidget <PyQt5.QtWidgets.QWidget object at 0x7f71d61fb048>
properties : 2020-06-11 15:13:47,024 : DEBUG : setting property enabled
properties : 2020-06-11 15:13:47,024 : DEBUG : setting property text
uiparser : 2020-06-11 15:13:47,024 : DEBUG : push QRadioButton radio_ConvLSTM
uiparser : 2020-06-11 15:13:47,024 : DEBUG : pop widget QRadioButton radio_ConvLSTM
uiparser : 2020-06-11 15:13:47,024 : DEBUG : new topwidget <PyQt5.QtWidgets.QWidget object at 0x7f71d61fb048>
uiparser : 2020-06-11 15:13:47,024 : DEBUG : pop layout QVBoxLayout vertical_radios
uiparser : 2020-06-11 15:13:47,026 : DEBUG : pop layout QGridLayout vertical_selection
uiparser : 2020-06-11 15:13:47,026 : DEBUG : pop widget QWidget gridLayoutWidget
uiparser : 2020-06-11 15:13:47,026 : DEBUG : new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x7f71d61f1438>
uiparser : 2020-06-11 15:13:47,026 : DEBUG : pop widget QGroupBox groupBoxSelections
uiparser : 2020-06-11 15:13:47,026 : DEBUG : new topwidget <PyQt5.QtWidgets.QWidget object at 0x7f71d61e3798>
properties : 2020-06-11 15:13:47,026 : DEBUG : setting property geometry
uiparser : 2020-06-11 15:13:47,026 : DEBUG : push QWidget horizontalLayoutWidget
properties : 2020-06-11 15:13:47,027 : DEBUG : setting property spacing
properties : 2020-06-11 15:13:47,027 : DEBUG : setting property sizeConstraint
properties : 2020-06-11 15:13:47,027 : DEBUG : setting property pyuicMargins
properties : 2020-06-11 15:13:47,027 : DEBUG : setting property pyuicSpacing
uiparser : 2020-06-11 15:13:47,027 : DEBUG : push QHBoxLayout horizontallayout_mediaControl
properties : 2020-06-11 15:13:47,027 : DEBUG : setting property text
uiparser : 2020-06-11 15:13:47,027 : DEBUG : push QPushButton btn_play
uiparser : 2020-06-11 15:13:47,027 : DEBUG : pop widget QPushButton btn_play
uiparser : 2020-06-11 15:13:47,027 : DEBUG : new topwidget <PyQt5.QtWidgets.QWidget object at 0x7f71cc13f288>
properties : 2020-06-11 15:13:47,028 : DEBUG : setting property orientation
uiparser : 2020-06-11 15:13:47,028 : DEBUG : push QSlider slider_duration
uiparser : 2020-06-11 15:13:47,028 : DEBUG : pop widget QSlider slider_duration
uiparser : 2020-06-11 15:13:47,028 : DEBUG : new topwidget <PyQt5.QtWidgets.QWidget object at 0x7f71cc13f288>
uiparser : 2020-06-11 15:13:47,028 : DEBUG : pop layout QHBoxLayout horizontallayout_mediaControl
uiparser : 2020-06-11 15:13:47,028 : DEBUG : pop widget QWidget horizontalLayoutWidget
uiparser : 2020-06-11 15:13:47,028 : DEBUG : new topwidget <PyQt5.QtWidgets.QWidget object at 0x7f71d61e3798>
properties : 2020-06-11 15:13:47,029 : DEBUG : setting property geometry
uiparser : 2020-06-11 15:13:47,029 : DEBUG : push QWidget verticalLayoutWidget
properties : 2020-06-11 15:13:47,029 : DEBUG : setting property pyuicMargins
uiparser : 2020-06-11 15:13:47,029 : DEBUG : push QVBoxLayout verticalLayout
properties : 2020-06-11 15:13:47,029 : DEBUG : setting property sizePolicy
properties : 2020-06-11 15:13:47,029 : DEBUG : setting property font
properties : 2020-06-11 15:13:47,029 : DEBUG : setting property text
properties : 2020-06-11 15:13:47,030 : DEBUG : setting property scaledContents
properties : 2020-06-11 15:13:47,030 : DEBUG : setting property alignment
properties : 2020-06-11 15:13:47,030 : DEBUG : setting property wordWrap
uiparser : 2020-06-11 15:13:47,030 : DEBUG : push QLabel text_result
